_,ar,az,bn,de,en,es,fa,fi,fr,hi,in,it,ms,nl,no,pl,pt,ru,si,sw,th,tr,ur,vi,zh
UnSubMessage,"الضغط على نعم سيلغي اشتراك المستخدم غير المشتركين لا يستطيعون استخدام الموقع.","Abunəliyi ləğv etmək üçün Bəli düyməsini klikləyin. Bundan sonra siz xidmətdən istifadə edə bilməyəcəksiniz.","নিবন্ধন বাতিল করতে হ্যাঁ ক্লিক করো। তুমি পরে সেবাটি ব্যবহার করতে পারবে না।","Klicken Sie auf Ja, um sich abzumelden.","Click on Yes to unsubscribe.","Haz clic en Sí para cancelar la suscripción.","برای ثبت نام بر روی بله کلیک کنید پس از آن نمی‌توانید به سرویس دسترسی پیدا کنید.","Napsauta ""Kyllä"" lopettaaksesi tilauksen.","Cliquez sur Oui pour vous désinscrire.","सदस्यता समाप्त करने के लिए हाँ पर क्लिक करें। इसके बाद आप सेवा का उपयोग नहीं कर सकते।","Klik Ya untuk membatalkan langganan. Anda tidak dapat mengakses layanan ini sesudahnya.","Fare clic su Sì per cancellare l'iscrizione.","Klik pada Ya untuk menghentikan langganan. Anda tidak boleh mengakses perkhidmatan ini selepas itu.","Klik op Ja om je af te melden.",,,"Clique no Sim para cancelar a sua inscrição.","Нажмите Да, чтобы отказаться от подписки. Вы не сможете получить доступ к службе позже.","sammaadan noweemata ow matha obanna. obata pasugiya kaalayehi seewaawanta prawesha wiya nohaka.",,"คลิก ใช่ เพื่อยกเลิกการเป็นสมาชิก หลังจากนั้นคุณจะไม่สามารถเข้าใช้บริการได้","Abonelikten çıkmak için Evet'e tıklayın. Daha sonrasında hizmete ulaşamazsınız.","ہاں پر کلک کر کے رُکنیت ختم کریں۔ اس کے بعد آپ یہ سہولت حاصل نہیں کر سکیں گے","Nhấn Có để hủy đăng ký. Sau đó bạn không thể truy cập dịch vụ.",
Unable_To_Connect,"عملية الإتصال بالخادم غير ممكنة","Serverə qoşulmaq mümkün deyil","সার্ভারের সাথে সংযুক্ত হতে ব্যর্থ","Kann Server nicht kontaktieren","Unable to contact server","No se ha podido contactar con el servidor","قادر به تماس با سرور نمی باشد","Palvelimeen ei saada yhteyttä","Impossible de contacter le serveur","सर्वर से संपर्क करने में असमर्थ","Tidak dapat menghubungi server","Impossibile contattare il server","Tidak dapat menghubungi server","niet mogelijk om te verbinden met server",,,"Não é possível contactar o servidor","Ошибка соединения с сервером",,,ไม่สามารถติดต่อเซิร์ฟเวอร์ได้,"Sunucuya bağlanılamıyor","سرور کا رابطہ ہونے سے قاصر ہے","Không thể liên lạc với máy chủ",
Unlock_All_Chapters,"افتح كل المواد","Bütün fəsilləri aç","সমস্ত অধ্যায়য়ের তালা খুলুন","Alle Kapitel entsperren","Unlock all chapters","Desbloquear todos los capítulos","تمام بخش‌ها را باز کن","Avaa kaikki luvut","Débloquer tous les chapitres","सभी चैप्टर अनलॉक करें","Buka semua bab","Sblocca tutti i capitoli","Membuka kunci semua bab","Open alle hoofdstukken",,,"Desbloquear todos os capítulos","Открыть все главы","siyalu parichcheeda sakriya karanna",,ปลดล็อกบทเรียนทั้งหมด,"Tüm bölümleri kilitle","تمام اسباق تک رسایی حاصل کریں","Mở khóa tất cả các chương",
Unlock_Benefits,"احصل على ولوج لا متناهي للمجموعة الكاملة من المواد","Bütün kurslara limitsiz giriş əldə edin","সংগ্রহে থাকা সমস্ত কোর্সের অফুরন্ত প্রবেশাধিকার নিন","Holen Sie sich uneingeschränkten Zugriff auf die gesamte Kollektion von Kursen","Get unlimited access to the entire collection of courses","Obtener acceso ilimitado a toda la colección de cursos","به تمام مجموعه درس‌ها دسترسی نامحدود پیدا کنید","Hanki rajaton käyttöoikeus koko kurssivalikoimaan","Porfitez d'un accès illimité à toute la collection des cours","कोर्स की पूरी कलेक्शन तक असीमित पहुंच प्राप्त करें","Dapatkan akses tidak terbatas ke seluruh koleksi kursus","Ottieni l'accesso illimitato all'intero insieme di corsi","Dapatkan akses yang tidak terhad untuk koleksi keseluruhan kursus","Krijg onbeperkt toegang tot het volledige cursus aanbod",,,"Obter acesso ilimitado à coleção inteira de cursos","Получить неограниченный доступ ко всей коллекции курсов",,,รับสิทธิ์การเข้าถึงชุดของหลักสูตรทั้งหมดโดยไม่จำกัด,"Kurs koleksiyonun tamamına sınırsız erişim kazanın","کورسز کی لامحدود رسائی حاصل کریں","Nhận quyền truy cập không giới hạn đến toàn bộ bộ sưu tập các khóa học",
Unlock_Course,"قم بفتح هذه المادة لتكمل","Davam etmək üçün bu kursu açın","অব্যাহত রাখতে কোর্সটি উন্মোচন করুন","Entsperren Sie diesen Kurs um fortzusetzen","Unlock this course to continue","Desbloquear este curso para continuar","برای ادامه این درس را باز کنید","Avaa tämä kurssi jatkaaksesi","débloquer ce cours pour continuer","जारी रखने के लिए यह पाठ्यक्रम अनलॉक करें","Buka kunci kursus ini untuk melanjutkan","Sblocca questo corso per continuare","Membuka kursus ini untuk teruskan","Ontgrendel deze curus om verder te gaan",,,"Desbloquear este curso para continuar","Открыть этот курс, чтобы продолжить",,,ปลดล็อกหลักสูตรนี้เพื่อดำเนินการต่อไป,"Devam etmek için bu kursu açın","جاری رکھنے کے لئے اس کورس کو ان لاک کریں","Mở khóa khóa học này để tiếp tục",
Unregistered_Mobile_Number,"هذا الرقم غير مسجل معنا","Bu mobil nömrə bizim saytda qeydiyyatdan keçməyib","এই মুঠোফোন নম্বর আমাদের সাথে নিবন্ধিত নয়।","Diese Handynummer ist nicht bei uns registriert.","This mobile number is not registered with us.","Este número de móvil no se ha registrado con nosotros.","این شماره موبایل در پایگاه ما ثبت نشده است",-,"Ce numéro de téléphone mobile n'est pas inscrit avec nous.","यह मोबाइल नंबर सिस्टम में पंजीकृत नहीं है।","Nomor ponsel ini tidak terdaftar dengan kami","Questo numero di cellulare non è registrato con noi.","Nombor telefon bimbit ini tidak berdaftar dengan kami.","Dit mobiele nummer is nog niet geregistereerd bij ons.",,,"Este número de telemóvel não está registado connosco.","Этот мобильный номер у нас не зарегистрирован",,,เบอร์มือถือนี้ไม่ได้ลงทะเบียนไว้กับเรา,"Bu cep telefonu numarası bizde kayıtlı değil.","یہ موبائل نمبر ہمارے ساتھ رجسٹرڈ نہیں ہے","Số điện thoại di động này chưa được đăng ký với chúng tôi.",
Unsubscribe,,,,,Unsubscribe,"Desactivar servicio",,-,"Terminer abonnement",,"Batalkan langganan",,,,,,,,,,ยกเลิกการเป็นสมาชิก,"Abonelikten çık",,"Bỏ đăng ký",
Use_Facebook_Info,"استخدم معلومات الفيسبوك","Facebook məlumatlarından istifadə et","আপনার ফেসবুকের তথ্য ব্যবহার করুন","Ihre Facebook Informationen verwenden","Use your Facebook Info","Utiliza la información de tu Facebook","از اطلاعات فیسبوک تان استفاده کنید","Käytä Facebook-tietojasi","Utilisez vos informations Facebook","अपनी फेसबुक जानकारी का प्रयोग करें","Gunakan Info Facebook Anda","Usa le tue Facebook Info","Gunakan Info Facebook anda","Gebruik jouw Facebook informatie",,,"Use a sua informação do Facebook","Использовать информацию с Facebook","obe facebook thorathuru baawithaa karanna",,"ใช้ข้อมูล Facebook ของคุณ","Facebook bilgilerinizi kullanın","اپنی فیس بک کی انفارمیشن استمال کریں","Sử dụng Thông tin Facebook của bạn",
VideoPlayer_Error,,,,,"Video not playing?<br/>Check your internet connection.<br/>For offline viewing <i>Start Course</i>.",,,-,,,"Video tidak menyala?<br/>Periksa koneksi internet Anda.<br/>Untuk menampilkan luring <i>Mulai Kursus</i>.",,,"Speelt video niet af?<br/>Controleer je internet verbinding.<br/>Voor offline bekijken <i>Start cursus</i>.",,,,,,,"วิดีโอไม่เล่น?<br/>ตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณ<br/>สำหรับการดูแบบออฟไลน์ <i>เริ่มหลักสูตร</i>.","Video oynatılamıyor mu?<br/>İnternet bağlanıtınızı kontrol edin.<br/>Çevrim dışı görüntüleme için <i>Kursu Başlat</i>.",,"Video không chạy?<br/>Kiểm tra kết nối Internet của bạn.<br/>Nếu xem ngoại tuyến <i>Bắt đầu Khóa học</i>.",
Waiting,انتظار,Gözlə,অপেক্ষারত,Warten,Waiting,espera,"صبر کنید",Odottaa,Attente,प्रतीक्षा,Menunggu,Attendere,Menunggu,"Even geduld",,,Esperando,Ожидание,"radee sitimin",,กำลังรอ,Bekliyor,"انتظار کریں","Đang chờ",
Yes,نعم,Bəli,হ্যাঁ,Ja,Yes,sí,بله,-,Oui,हां,Ya,Sì,Ya,Ja,,,Sim,Да,ow,,ใช่,Evet,ہاں,Có,
YouEarnedThe,"لقد حصلت على","Siz qazandınız:","তুমি অর্জন করেছো","Sie haben ..... verdient.","You earned the","Ganaste el","شما به دست آورده‌اید",Ansaitsit,"Vous avez gagné le","आपने प्राप्त किए","Anda telah memperoleh","Hai guadagnato il","Anda telah memperolehi","Dit heb je verdiend:",,,"Você ganhou o(a)","Вы получили","oba upayaa gaththee",,คุณได้รับ,"Bu bölümü geçmek için gereken","آپ نے حاصل کیا ہے","Bạn đã nhận",
You_Can_Try,"يمكنك ان تجرب","Cəhd edin","আপনি চেষ্টা করতে পারেন","Sie können versuchen","You can try","Puedes intentarlo","میتوانید امتحان کنید","Voit kokeilla","vous pouvez essayer","आप प्रयास कर सकते हैं","Anda boleh mencoba","Puoi provare","Anda boleh cuba","Je kan het proberen",,,"Você pode tentar","Вы можете попробовать",,,คุณสามารถลองดูได้,Deneyebilirsiniz,"آپ کوشش کرسکتے ہیں","Bạn có thể thử",
You_Might_Also_Like,"قد ترغب أيضًا في مطالعة","Buna da baxin:","আপনি পছন্দ করতে পারেন :","Ihnen gefällt vielleicht außerdem:","You might also like:","Quizá te guste también",,"Saatat pitää myös:","Vous pourriez aussi aimer:","आपको यह भी पसंद आ सकता है :","Anda mungkin juga suka:","Ti potrebbe piacere anche:","Anda juga mungkin suka:","Hier heb je miscchien ook interesse in:",,,"Pode também gostar de:","Вам также может понравиться:","එසේම ඔබ කැමති විය හැකිය :","Unaweza pia kama:",นอกจากนี้คุณยังอาจจะชอบ:,"Bunları da beğenebilirsiniz:","aap ko bhi yeh pasand aaye ga:","Bạn cũng có thể thích:",您可能也喜欢：
You_Will_Receive_Pin,"سوف تستلم رقم سري بواسطة رسالة نصية لتأكيد رقم جوالك","Sizə mobil nömrəni təsdiq etmək üçün SMS vasitəsilə pin kod göndəriləcək","মুঠোফোনের নম্বর নিশ্চিত করতে মুঠোবার্তার মাধ্যমে আপনি একটি গোপন সংকেত পাবেন","Sie werden einen Pin via SMS empfangen, um Ihre Handy-Nummer zu bestätigen","You will receive a pin through SMS to confirm your mobile number","Recibirás un pin por SMS para confirmar tu número de móvil","برای تائید شماره موبایل یک کُد از طریق SMS دریافت خواهید کرد","Saat tekstiviestillä PIN-koodin vahvistaaksesi matkapuhelinnumerosi","Vous allez recevoir par sms un code PIN pour confirmer votre numéro de téléphone mobile","अपने मोबाइल नंबर की पुष्टि करने के लिए आपको एसएमएस के माध्यम से एक पिन प्राप्त होगा","Anda akan menerima pin melalui SMS untuk mengonfirmasikan nomor ponsel Anda","Riceverai un codice pin tramite SMS per confermare il tuo numero di cellulare","Anda akan menerima pin melalui SMS untuk mengesahkan nombor telefon bimbit anda","Je ontvangt een sms met pincode om je mobiele nummer te verifiëren",,,"Voce irá receber um pin através de SMS para confirmar o seu número de telemóvel","Вы получите код на СМС для подтверждения вашего номера телефона",,,"คุณจะได้รับรหัสพินผ่านทาง SMS เพื่อยืนยันเบอร์มือถือของคุณ","Cep telefonu numaranızı onaylamak için SMS ile bir pin numarası alacaksınız","آپ کو ایس۔ایم۔ایس کے ذریعے موبائل نمبر کی توثیق کے لئے ایک پن موصول ہوگا","Bạn sẽ nhận được mã pin thông qua SMS để xác nhận số điện thoại di động của bạn",
Youneedtoget,"عليك الحصول على","Siz yığmalısınız:","তোমাকে পেতে হবে","Sie müssen ...... bekommen","You need to get","Tienes que conseguir","شما باید بگیرید","Sinun tulee saada","Vous devez obtenir","आपको प्राप्त करने की आवश्यकता है","Anda perlu mendapatkan","Devi avere","Anda perlu mendapatkan","Je moet minstens deze score behalen:",,,"Você precisa de ter","Вам надо","oba ganeemata awash‍ya",,คุณจะต้องได้,"Şunu almalısınız","آپ کو چاہیے","Bạn cần có",
YourBestScore,"أفضل نتيجة لك:","Ən yaxşı nəticəniz:","তোমার সেরা স্কোরঃ","Ihre bestes Ergebnis:","Your Best Score:","Tu Mejor puntuación:","بهترین امتیاز شما:","Paras pistemääräsi:","Votre meilleur score:","आपका सर्वश्रेष्ठ स्कोर:","Skor Terbaik Anda:","Il tuo miglior punteggio:","Skor Terbaik Anda:","Je beste score:",,,"Sua Melhor Nota:","Ваш Лучший Результат:","obagee hodama lakunu:",,คะแนนที่ดีที่สุดของคุณ:,"En İyi Puanınız:","آپکا بہترین سکور:","Điểm cao nhất của Bạn:",
YourScore,نتيجتك:,"Sizin nəticə:","তোমার স্কোরঃ","Ihr Ergebnis:","Your Score:","Tu puntuación:","امتیاز شما:",Pistemääräsi:,"Votre score:","आपका स्कोर:","Skor Anda:","Il tuo punteggio:","Skor Anda :","Je score:",,,"Sua Nota:","Ваш Результат:","obagee lakunu:",,คะแนนของคุณ:,Puanınız:,"آپکا سکور:","Điểm của Bạn:",
Your_Email,"بريدك الإلكتروني","Email ünvanınız","তোমার ইমেইল","Ihre E-Mail","Your email","Tu correo electrónico","ایمیل شما",Sähköpostiosoitteesi,"Votre e-mail","आपका ईमेल","Surel Anda","La tua e-mail","e-mel anda","Je e-mail",,,"Seu email","Ваша эл. почта","obagee widyuth lipinaya",,อีเมลของคุณ,E-postanız,"آپ کا ای۔میل","Email của Bạn",
Your_Message_Here,"أدخل رسالتك هنا","Məktubun mətnini buraya yazın","এখানে তোমার মেসেজ লেখো","Geben Sie Ihre Nachricht hier ein","Type Your Message here","Escribe aquí tu mensaje","پیغام خود را در اینجا تایپ کنید","Kirjoita viesti tähän","Tapez votre message ici","यहाँ अपना संदेश टाइप करें","Ketik Pesan Anda di sini","Digita qui il tuo messaggio","Type Mesej Anda di sini","Typ hier je bericht",,,"Digite a sua Mensagem aqui","Введите ваше сообщение","obagee paniwudaya mehi sadahan karanna",,พิมพ์ข้อความของคุณที่นี่,"Mesajınızı buraya yazın","اپنا پیغام یہاں درج کریں","Nhập nội dung tin nhắn của bạn",
Your_Mobile_Number,"رقم جوّالك","Mobil nömrəniz","তোমার মোবাইল নম্বর","Ihre Handynummer","Your Mobile Number","Tu número de teléfono móvil","شماره موبایل شما",Matkapuhelinnumerosi,"Votre Numéro de Mobile","आपका मोबाइल नंबर","Nomor Ponsel Anda","Il tuo numero di cellulare","Nombor Telefon anda","Je mobiele nummer",,,"O numero do seu telemóvel","Ваш номер телефона","obagee jangama durakathana ankaya",,เบอร์มือถือของคุณ,"Cep Telefonu Numaranız","آپ کا موبائل نمبر","Số Điện thoại Di động của Bạn",
Your_Name,اسمك,Adınız,"তোমার নাম","Ihr Name","Your Name","Tu nombre","نام شما",Nimesi,"Votre Nom","आपका नाम","Nama Anda","Il tuo nome","Nama Anda","Je naam",,,"Seu Nome","Ваше Имя","obagee nama",,ชื่อของคุณ,İsminiz,"آپ کا نام","Tên của Bạn",
daily,يوم,Gün,দিন,Tag,Day,día,روز,Päivä,jour,दिन,Hari,Giorno,hari,Dag,,,Dia,День,,,วัน,Gün,دن,Ngày,
monthly,شهر,Ay,মাস,Monat,Month,mes,ماه,Kuukausi,mois,माह,Bulan,Mese,bulan,Maand,,,Mês,Месяц,,,เดือน,Ay,مہینہ,Tháng,
or,أو,"və ya",অথবা,oder,or,o,یا,tai,ou,या,atau,oppure,atau,of,,,ou,или,hoa,,หรือ,veya,یا,hoặc,
quiz_tutorial,,,,,"Tap on the right answer to continue to the next question.",,,"Napauta oikeaa vastausta jatkaaksesi seuraavaan kysymykseen.",,,"Ketuk jawaban yang benar untuk melanjutkan ke pertanyaan berikutnya.",,,,,,,,,,แตะบนคำตอบที่ถูกต้องเพื่อดำเนินการต่อไปยังคำถามถัดไป,"Sonraki soruya devam etmek için doğru cevaba dokunun.",,"Chạm vào câu trả lời đúng để tiếp tục sang câu hỏi tiếp theo.",
swipe_to_flip_answer,,,,,"Swipe again to go to next flashcard.",,,"Pyyhkäise uudelleen siirtyäksesi seuraavaan muistikorttiin.",,,"Geser kembali untuk masuk ke flashcard berikutnya.",,,,,,,,,,วาดนิ้วมืออีกครั้งเพื่อไปยังบัตรคำใบต่อไป,"Sonraki hafıza kartını görmek için tekrar hareket ettirin.",,"Vuốt lại lần nữa để đến thẻ flash tiếp theo.",
swipe_to_flip_question,,,,,"Swipe to flip the flashcard and see the answer.",,,"Pyyhkäise kääntääksesi muistikortin ja nähdäksesi vastauksen.",,,"Geser untuk membalik flashcard dan melihat jawabannya.",,,,,,,,,,วาดนิ้วมือเพื่อหงายบัตรคำแล้วดูคำตอบ,"Hafıza kartını çevirmek için hareket ettir ve cevabı gör.",,"Vuốt để lật thẻ flash và xem đáp án.",
tap_on_any_course,,,,,"Tap on any course to start. Scroll down to discover more choices.",,,"Napauta mitä tahansa kurssia aloittaaksesi. Vieritä alas nähdäksesi lisää vaihtoehtoja.",,,"Ketuk kursus untuk memulai. Gulirkan ke bawah untuk menemukan lebih banyak pilihan.",,,,,,,,,,"แตะบนหลักสูตรใดก็ได้เพื่อเริ่ม เลื่อนลงเพื่อค้นตัวเลือกเพิ่มเติม","Başlamak için istediğiniz kursa dokunun. Daha fazla seçenek keşfetmek için aşağıya kaydırın.",,"Chạm vào bất kỳ khóa học nào để bắt đầu. Cuộn xuống để khám phá thêm các lựa chọn khác.",
weekly1,أسبوع,Həftə,সপ্তাহ,Woche,Week,semana,هفته,Viikko,semaine,सप्ताह,Minggu,Settimana,minggu,Week,,,Semana,Неделя,,,สัปดาห์,Hafta,ہفتہ,Tuần,
